Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,3482
2001,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,5096
2002,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,6564
2003,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,7152
2004,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,7671
2005,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,8632
2006,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,9049
2007,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,11779
2008,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,20108
2009,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,291589
2010,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,193858
2011,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,1689389
2012,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,2706922
2013,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,3861979
2014,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,5025945
2015,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,6443976
2016,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,8099132
2017,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,10841728
2018,Normal value,Units,Country Data,MPTC,Annual,National,17.8.1 Internet users,Cambodia,Number,2018,13611398
